id,canonical_slug,name,developer,model,created,description,context_length,architecture_input_modalities,architecture_output_modalities,architecture_tokenizer,architecture_instruct_type,pricing_prompt,pricing_completion,pricing_request,pricing_image,pricing_web_search,pricing_internal_reasoning,pricing_input_cache_read,pricing_input_cache_write,top_provider_context_length,top_provider_max_completion_tokens,top_provider_is_moderated,supported_parameters,default_parameters,expiration_date,knowledge_cutoff,links,per_request_limits,supported_voices,hugging_face_id,benchmarks_design_arena
"openai/gpt-image-1-mini","openai/gpt-image-1-mini","OpenAI: GPT Image 1 Mini","OpenAI","GPT Image 1 Mini","1782264713","A cost-efficient variant of GPT Image 1 for high-quality image generation at reduced latency and cost via OpenAI's dedicated Images API.","400000","text|image","image","GPT","","0.0000025","0.0000025","","","0.01","","0.00000025","","400000","","true","frequency_penalty|logit_bias|logprobs|max_tokens|presence_penalty|response_format|seed|stop|structured_outputs|temperature|top_logprobs|top_p","{}","","","{""details"":""/api/v1/models/openai/gpt-image-1-mini/endpoints""}","null","null","",""
"openai/gpt-image-1","openai/gpt-image-1","OpenAI: GPT Image 1","OpenAI","GPT Image 1","1782264713","OpenAI's GPT Image 1 generates and edits images via the dedicated Images API. Features accurate text rendering; transparent backgrounds; and up to 16 reference images for edits.","400000","text|image","image","GPT","","0.00001","0.00001","","","0.01","","0.00000125","","400000","","true","frequency_penalty|logit_bias|logprobs|max_tokens|presence_penalty|response_format|seed|stop|structured_outputs|temperature|top_logprobs|top_p","{}","","","{""details"":""/api/v1/models/openai/gpt-image-1/endpoints""}","null","null","","models/imageediting:elo=1128,wr=45.3,rank=5"
"alibaba/happyhorse-1.0","alibaba/happyhorse-1.0-20260624","Alibaba: HappyHorse 1.0","Alibaba","HappyHorse 1.0","1782260324","HappyHorse 1.0 is a video generation model from Alibaba. It generates short videos from a text prompt; a single starting image; or a set of reference images; with output up...","0","text|image","video","Other","","0","0","","","","","","","0","","","max_tokens|presence_penalty|response_format|seed|temperature|top_p","{}","","","{""details"":""/api/v1/models/alibaba/happyhorse-1.0-20260624/endpoints""}","null","null","",""
"google/gemini-3.1-flash-image","google/gemini-3.1-flash-image-20260528","Google: Nano Banana 2 (Gemini 3.1 Flash Image)","Google","Nano Banana 2 (Gemini 3.1 Flash Image)","1781754065","Gemini 3.1 Flash Image; a.k.a. ""Nano Banana 2;"" is Google’s latest state of the art image generation and editing model; delivering Pro-level visual quality at Flash speed. It combines advanced...","131072","image|text","image|text","Gemini","","0.0000005","0.000003","","","0.014","","","","131072","32768","","include_reasoning|max_tokens|reasoning|response_format|seed|structured_outputs|temperature|top_p","{}","","","{""details"":""/api/v1/models/google/gemini-3.1-flash-image-20260528/endpoints""}","null","null","",""
"google/gemini-3-pro-image","google/gemini-3-pro-image-20260528","Google: Nano Banana Pro (Gemini 3 Pro Image)","Google","Nano Banana Pro (Gemini 3 Pro Image)","1781754054","Nano Banana Pro is Google’s most advanced image-generation and editing model; built on Gemini 3 Pro. It extends the original Nano Banana with significantly improved multimodal reasoning; real-world grounding; and...","65536","image|text","image|text","Gemini","","0.000002","0.000012","","0.000002","0.014","0.000012","0.0000002","0.000000375","65536","32768","","include_reasoning|max_tokens|reasoning|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_p","{}","","","{""details"":""/api/v1/models/google/gemini-3-pro-image-20260528/endpoints""}","null","null","",""
"cohere/north-mini-code:free","cohere/north-mini-code-20260617","Cohere: North Mini Code (free)","Cohere","North Mini Code (free)","1781723748","North Mini Code is Cohere's first agentic coding model and the debut of its North family. A sparse mixture-of-experts model with 30B total parameters and 3B active; it is optimized...","256000","text","text","Cohere","","0","0","","","","","","","256000","64000","true","frequency_penalty|include_reasoning|max_tokens|presence_penalty|reasoning|seed|stop|temperature|tool_choice|tools|top_k|top_p","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/cohere/north-mini-code-20260617/endpoints""}","null","null","CohereLabs/North-Mini-Code-1.0",""
"z-ai/glm-5.2","z-ai/glm-5.2-20260616","Z.ai: GLM 5.2","Z.ai","GLM 5.2","1781631930","GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window; and is suited for long-horizon agent workflows; project-level software engineering;...","1048576","text","text","Other","","0.0000009086","0.0000028556","","","","","0.00000016874","","1048576","131072","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|parallel_tool_calls|presence_penalty|reasoning|reasoning_effort|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p","{""temperature"":1;""top_p"":0.95;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/z-ai/glm-5.2-20260616/endpoints""}","null","null","zai-org/GLM-5.2","agents/androidnative:elo=1253,wr=57.2,rank=6|agents/fullstack:elo=1293,wr=63.6,rank=3|agents/htmlslides:elo=1202,wr=52.3,rank=8|agents/mobileapps:elo=1240,wr=54,rank=5|agents/python-pptxslides:elo=1218,wr=50.4,rank=5|agents/webapps:elo=1284,wr=57.5,rank=3|models/3d:elo=1374,wr=64.1,rank=1|models/codecategories:elo=1360,wr=62,rank=1|models/dataviz:elo=1324,wr=59.6,rank=4|models/gamedev:elo=1357,wr=61.3,rank=2|models/uicomponent:elo=1338,wr=59.5,rank=4|models/website:elo=1356,wr=61.6,rank=1"
"openrouter/fusion","openrouter/fusion","OpenRouter: Fusion","OpenRouter","Fusion","1781371647","Fusion turns your prompt into a small multi-model deliberation. A panel of expert models (see below) analyzes your prompt in parallel with web search and web fetch enabled; then a...","1000000","text","text","Router","","-1","-1","","","","","","","","","","","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/openrouter/fusion/endpoints""}","null","null","",""
"moonshotai/kimi-k2.7-code","moonshotai/kimi-k2.7-code-20260612","MoonshotAI: Kimi K2.7 Code","MoonshotAI","Kimi K2.7 Code","1781266361","MoonshotAI: Kimi K2.7 Code is a coding-focused model in Moonshot AI's Kimi K2 family; built to complete end-to-end programming tasks reliably over long contexts. It uses a native multimodal mixture-of-experts...","262144","text|image","text","Other","","0.00000074","0.0000035","","","","","0.00000015","","262144","16384","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|parallel_tool_calls|presence_penalty|reasoning|reasoning_effort|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/moonshotai/kimi-k2.7-code-20260612/endpoints""}","null","null","moonshotai/Kimi-K2.7-Code","agents/agenticgamedev:elo=1166,wr=47,rank=9|agents/androidnative:elo=1214,wr=50.7,rank=11|agents/fullstack:elo=1240,wr=55.4,rank=7|agents/htmlslides:elo=1204,wr=52.3,rank=7|agents/mobileapps:elo=1220,wr=50.4,rank=10|agents/python-pptxslides:elo=1189,wr=45.6,rank=6|agents/webapps:elo=1248,wr=50.8,rank=9|models/3d:elo=1315,wr=57.3,rank=13|models/codecategories:elo=1304,wr=55.1,rank=14|models/dataviz:elo=1258,wr=51.6,rank=26|models/gamedev:elo=1281,wr=51.5,rank=22|models/svg:elo=1256,wr=52.9,rank=12|models/uicomponent:elo=1297,wr=54.3,rank=16|models/website:elo=1315,wr=56.7,rank=10"
"nvidia/llama-nemotron-rerank-vl-1b-v2:free","nvidia/llama-nemotron-rerank-vl-1b-v2","NVIDIA: Llama Nemotron Rerank VL 1B V2 (free)","NVIDIA","Llama Nemotron Rerank VL 1B V2 (free)","1781036054","Llama Nemotron Rerank VL 1B V2 is a 1.7B multimodal reranking model from NVIDIA. It evaluates the relevance of document images and text against user queries; designed for vision RAG...","10240","text|image","rerank","Other","","0","0","","","","","","","10240","","","max_tokens|seed|temperature|top_p","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nvidia/llama-nemotron-rerank-vl-1b-v2/endpoints""}","null","null","",""
"~anthropic/claude-fable-latest","~anthropic/claude-fable-latest","Anthropic: Claude Fable Latest","Anthropic","Claude Fable Latest","1781029944","This model always redirects to the latest model in the Claude Fable family.","1000000","text|image|file","text","Router","","0.00001","0.00005","","","0.01","","0.000001","0.0000125","1000000","128000","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|stop|structured_outputs|tool_choice|tools|verbosity","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/~anthropic/claude-fable-latest/endpoints""}","null","null","",""
"anthropic/claude-fable-5","anthropic/claude-5-fable-20260609","Anthropic: Claude Fable 5","Anthropic","Claude Fable 5","1781007515","Claude Fable 5 is a Mythos-class model from Anthropic; built for autonomous knowledge work and coding. It supports text; image; and file inputs with text output; with reasoning support and...","1000000","text|image|file","text","Claude","","0.00001","0.00005","","","0.01","","0.000001","0.0000125","1000000","128000","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|stop|structured_outputs|tool_choice|tools|verbosity","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/anthropic/claude-5-fable-20260609/endpoints""}","null","null","","agents/agentichtmlslides:elo=1254,wr=59.4,rank=1|agents/agenticslides(html):elo=1252,wr=59.5,rank=1|agents/htmlslides:elo=1260,wr=60.7,rank=1|models/3d:elo=1368,wr=67.2,rank=2|models/asciiart:elo=1369,wr=70.1,rank=1|models/codecategories:elo=1349,wr=63.3,rank=2|models/dataviz:elo=1381,wr=70.1,rank=1|models/gamedev:elo=1379,wr=65.1,rank=1|models/svg:elo=1370,wr=71.8,rank=1|models/uicomponent:elo=1414,wr=71.3,rank=1|models/website:elo=1341,wr=62.5,rank=2"
"nex-agi/nex-n2-pro","nex-agi/nex-n2-pro","Nex AGI: Nex-N2-Pro","NexAGI","Nex-N2-Pro","1780937140","Nex-N2-Pro is an agentic mixture-of-experts model from Nex AGI; with 17B active parameters out of 397B total. Built on the Qwen3.5 architecture; it accepts text and image input and produces...","262144","text|image","text","Qwen3","","0.00000025","0.000001","","","","","0.000000025","","262144","262144","","frequency_penalty|include_reasoning|logprobs|max_tokens|reasoning|temperature|top_k|top_logprobs|top_p","{""temperature"":0.7;""top_p"":0.95;""top_k"":40;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nex-agi/nex-n2-pro/endpoints""}","null","null","nex-agi/Nex-N2-Pro","models/3d:elo=1311,wr=55.5,rank=15|models/codecategories:elo=1274,wr=50,rank=25|models/dataviz:elo=1248,wr=48.5,rank=30|models/gamedev:elo=1269,wr=48.7,rank=26|models/svg:elo=1265,wr=54.9,rank=10|models/uicomponent:elo=1258,wr=47.7,rank=29|models/website:elo=1256,wr=47.7,rank=30"
"sourceful/riverflow-v2.5-pro","sourceful/riverflow-v2.5-pro-20260605","Sourceful: Riverflow V2.5 Pro","Sourceful","Riverflow V2.5 Pro","1780584991","Riverflow V2.5 Pro is the most powerful variant of Sourceful's Riverflow 2.5 lineup; best for top-tier control and quality-sensitive outputs. The Riverflow 2.5 series is a unified text-to-image and image-to-image...","32768","text|image","image","Other","","0","0","","","","","","","32768","","","include_reasoning|reasoning","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/sourceful/riverflow-v2.5-pro-20260605/endpoints""}","null","null","","models/graphicdesign:elo=1477,wr=79.2,rank=1|models/image:elo=1412,wr=73.1,rank=1|models/logo:elo=1311,wr=65.1,rank=1|models/imageediting:elo=1380,wr=75.2,rank=1"
"sourceful/riverflow-v2.5-fast","sourceful/riverflow-v2.5-fast-20260605","Sourceful: Riverflow V2.5 Fast","Sourceful","Riverflow V2.5 Fast","1780584983","Riverflow V2.5 Fast is the speed-optimized variant of Sourceful's Riverflow 2.5 lineup; best for production deployments and latency-critical workflows. The Riverflow 2.5 series is a unified text-to-image and image-to-image family...","32768","text|image","image","Other","","0","0","","","","","","","32768","","","include_reasoning|reasoning","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/sourceful/riverflow-v2.5-fast-20260605/endpoints""}","null","null","",""
"nvidia/nemotron-3.5-content-safety:free","nvidia/nemotron-3.5-content-safety-20260604","NVIDIA: Nemotron 3.5 Content Safety (free)","NVIDIA","Nemotron 3.5 Content Safety (free)","1780581864","NVIDIA Nemotron 3.5 Content Safety is a compact 4B-parameter multimodal guardrail model from NVIDIA; fine-tuned from Google Gemma-3-4B. It moderates both inputs to and responses from LLMs and VLMs; accepting...","128000","text|image","text","Other","","0","0","","","","","","","128000","8192","","include_reasoning|max_tokens|reasoning|seed|temperature|top_p","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nvidia/nemotron-3.5-content-safety-20260604/endpoints""}","null","null","nvidia/Nemotron-3.5-Content-Safety",""
"nvidia/nemotron-3-ultra-550b-a55b:free","nvidia/nemotron-3-ultra-550b-a55b-20260604","NVIDIA: Nemotron 3 Ultra (free)","NVIDIA","Nemotron 3 Ultra (free)","1780551208","NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA; with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture; it...","1000000","text","text","Other","","0","0","","","","","","","1000000","65536","","include_reasoning|max_tokens|reasoning|seed|temperature|tool_choice|tools|top_p","{""temperature"":1;""top_p"":0.95;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nvidia/nemotron-3-ultra-550b-a55b-20260604/endpoints""}","null","null","nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16","models/3d:elo=1215,wr=43.8,rank=41|models/asciiart:elo=1112,wr=38.4,rank=45|models/codecategories:elo=1174,wr=37,rank=61|models/dataviz:elo=1152,wr=36.8,rank=64|models/gamedev:elo=1194,wr=39.3,rank=55|models/svg:elo=1138,wr=38.1,rank=47|models/uicomponent:elo=1173,wr=37.6,rank=56|models/website:elo=1142,wr=32.8,rank=77"
"nvidia/nemotron-3-ultra-550b-a55b","nvidia/nemotron-3-ultra-550b-a55b-20260604","NVIDIA: Nemotron 3 Ultra","NVIDIA","Nemotron 3 Ultra","1780551208","NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA; with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture; it...","1000000","text","text","Other","","0.0000005","0.0000022","","","","","0.0000001","","262144","16384","","frequency_penalty|include_reasoning|logit_bias|max_tokens|min_p|presence_penalty|reasoning|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_p","{""temperature"":1;""top_p"":0.95;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nvidia/nemotron-3-ultra-550b-a55b-20260604/endpoints""}","null","null","nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16","models/3d:elo=1215,wr=43.8,rank=41|models/asciiart:elo=1112,wr=38.4,rank=45|models/codecategories:elo=1174,wr=37,rank=61|models/dataviz:elo=1152,wr=36.8,rank=64|models/gamedev:elo=1194,wr=39.3,rank=55|models/svg:elo=1138,wr=38.1,rank=47|models/uicomponent:elo=1173,wr=37.6,rank=56|models/website:elo=1142,wr=32.8,rank=77"
"qwen/qwen3.7-plus","qwen/qwen3.7-plus-20260602","Qwen: Qwen3.7 Plus","Qwen","Qwen3.7 Plus","1780491783","Qwen3.7-Plus is a cost-effective model in Alibaba's Qwen3.7 series. It supports text and image input with text output; building on the series' text capabilities with a comprehensive upgrade to its...","1000000","text|image","text","Qwen","","0.00000032","0.00000128","","","","","0.000000064","0.0000004","1000000","65536","","include_reasoning|logprobs|max_tokens|presence_penalty|reasoning|response_format|seed|structured_outputs|temperature|tool_choice|tools|top_logprobs|top_p","{}","","","{""details"":""/api/v1/models/qwen/qwen3.7-plus-20260602/endpoints""}","null","null","",""
"microsoft/mai-voice-2","microsoft/mai-voice-2","Microsoft: MAI-Voice-2","Microsoft","MAI-Voice-2","1780425097","MAI-Voice-2 is a high-fidelity; expressive text-to-speech model from Microsoft; powered by Azure AI Speech. It synthesizes natural-sounding speech across 10+ languages with support for expressive SSML styles (cheerful; sad; excited;...","0","text","speech","Other","","0.000022","0","","","","","","","0","","","max_completion_tokens|max_tokens|temperature|top_p","{}","","","{""details"":""/api/v1/models/microsoft/mai-voice-2/endpoints""}","null","[""en-US-Harper:MAI-Voice-2"";""es-MX-Valeria:MAI-Voice-2"";""fr-FR-Soleil:MAI-Voice-2"";""de-DE-Klaus:MAI-Voice-2""]","","models/text-to-speech:elo=1194,wr=52.5,rank=1"
"microsoft/mai-transcribe-1.5","microsoft/mai-transcribe-1.5","Microsoft: MAI-Transcribe 1.5","Microsoft","MAI-Transcribe 1.5","1780425095","MAI-Transcribe 1.5 is Microsoft's fast transcription model powered by Azure AI Speech. It supports 100+ BCP-47 locales with automatic language detection; automatic punctuation; and duration-based per-second billing. Uses the Azure...","0","audio","transcription","Other","","0.36","0","","","","","","","0","","","max_completion_tokens|max_tokens|temperature|top_p","{}","","","{""details"":""/api/v1/models/microsoft/mai-transcribe-1.5/endpoints""}","null","null","",""
"microsoft/mai-image-2.5","microsoft/mai-image-2.5","Microsoft: MAI-Image-2.5","Microsoft","MAI-Image-2.5","1780424896","Microsoft's MAI-Image-2.5 is a high-quality image generation model available via Azure AI Foundry. It produces photorealistic and artistic images from text prompts with support for various aspect ratios.","4096","text|image","image","Other","","0.000005","0","","","","","","","4096","1024","","max_completion_tokens|max_tokens|temperature","{}","","","{""details"":""/api/v1/models/microsoft/mai-image-2.5/endpoints""}","null","null","","models/graphicdesign:elo=1233,wr=51,rank=4|models/image:elo=1236,wr=52.6,rank=4|models/imageediting:elo=1265,wr=62.6,rank=3|models/logo:elo=1213,wr=51.4,rank=8"
"minimax/minimax-m3","minimax/minimax-m3-20260531","MiniMax: MiniMax M3","MiniMax","MiniMax M3","1780245374","MiniMax-M3 is a multimodal foundation model from MiniMax. It supports text; image; and video inputs with text output; a 1M-token context window; and is suited for long-horizon agentic work; coding;...","1048576","text|image|video","text","Other","","0.0000003","0.0000012","","","","","0.00000006","","524288","512000","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|presence_penalty|reasoning|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p","{""temperature"":1;""top_p"":0.95;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/minimax/minimax-m3-20260531/endpoints""}","null","null","MiniMaxAI/Minimax-M3","agents/androidnative:elo=1041,wr=25.2,rank=26|models/3d:elo=1305,wr=56.6,rank=18|models/asciiart:elo=1221,wr=49.8,rank=15|models/codecategories:elo=1306,wr=55.6,rank=12|models/dataviz:elo=1291,wr=56.7,rank=11|models/gamedev:elo=1288,wr=51.7,rank=20|models/svg:elo=1243,wr=54.3,rank=16|models/uicomponent:elo=1294,wr=54.1,rank=17|models/website:elo=1304,wr=55.6,rank=13"
